Title,DOI
Generative Modeling of Residuals for Real-Time Risk-Sensitive Safety with Discrete-Time Control Barrier Functions.,https://doi.org/10.1109/ICRA57147.2024.10611355
TinyMPC: Model-Predictive Control on Resource-Constrained Microcontrollers.,https://doi.org/10.1109/ICRA57147.2024.10610987
A Movable Microfluidic Chip with Gap Effect for Manipulation of Oocytes.,https://doi.org/10.1109/ICRA57147.2024.10610409
Under pressure: learning-based analog gauge reading in the wild.,https://doi.org/10.1109/ICRA57147.2024.10610793
Efficient Composite Learning Robot Control Under Partial Interval Excitation.,https://doi.org/10.1109/ICRA57147.2024.10610877
MORALS: Analysis of High-Dimensional Robot Controllers via Topological Tools in a Latent Space.,https://doi.org/10.1109/ICRA57147.2024.10610383
Resilient Legged Local Navigation: Learning to Traverse with Compromised Perception End-to-End.,https://doi.org/10.1109/ICRA57147.2024.10611254
VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation.,https://doi.org/10.1109/ICRA57147.2024.10610712
Learning Continuous Control with Geometric Regularity from Robot Intrinsic Symmetry.,https://doi.org/10.1109/ICRA57147.2024.10610949
Learning Vision-Based Bipedal Locomotion for Challenging Terrain.,https://doi.org/10.1109/ICRA57147.2024.10611621
NoMaD: Goal Masked Diffusion Policies for Navigation and Exploration.,https://doi.org/10.1109/ICRA57147.2024.10610665
Distributionally Robust Chance Constrained Trajectory Optimization for Mobile Robots within Uncertain Safe Corridor.,https://doi.org/10.1109/ICRA57147.2024.10611252
Distributionally Robust CVaR-Based Safety Filtering for Motion Planning in Uncertain Environments.,https://doi.org/10.1109/ICRA57147.2024.10611276
Safe POMDP Online Planning via Shielding.,https://doi.org/10.1109/ICRA57147.2024.10610195
Generating Sparse Probabilistic Graphs for Efficient Planning in Uncertain Environments.,https://doi.org/10.1109/ICRA57147.2024.10610493
Johnsen-Rahbek Capstan Clutch: A High Torque Electrostatic Clutch.,https://doi.org/10.1109/ICRA57147.2024.10611283
Research on bionic foldable wing for flapping wing micro air vehicle.,https://doi.org/10.1109/ICRA57147.2024.10610536
A scalable monolithic 3D printable variable stiffness mechanism.,https://doi.org/10.1109/ICRA57147.2024.10610379
Modular Growing Mechanism with Multi-axis Deformation.,https://doi.org/10.1109/ICRA57147.2024.10610637
Design and Experimental Characterisation of a Novel Quasi-Direct Drive Actuator for Highly Dynamic Robotic Applications.,https://doi.org/10.1109/ICRA57147.2024.10611567
Design and Evaluation of a Reconfigurable 7-DOF Upper Limb Rehabilitation Exoskeleton with Gravity Compensation.,https://doi.org/10.1109/ICRA57147.2024.10610011
Flexible Omnidirectional Driving Gear Mechanism with Adaptation over Arbitrary Curvatures.,https://doi.org/10.1109/ICRA57147.2024.10609984
Tactile Robot Programming: Transferring Task Constraints into Constraint-Based Unified Force-Impedance Control.,https://doi.org/10.1109/ICRA57147.2024.10610054
Safety Verification of Closed-loop Control System with Anytime Perception.,https://doi.org/10.1109/ICRA57147.2024.10611044
Unraveling the Single Tangent Space Fallacy: An Analysis and Clarification for Applying Riemannian Geometry in Robot Learning.,https://doi.org/10.1109/ICRA57147.2024.10611701
Optimal Control Synthesis with Relaxed Global Temporal Logic Specifications for Homogeneous Multi-robot Teams.,https://doi.org/10.1109/ICRA57147.2024.10610142
