Title,DOI
Deploying Ten Thousand Robots: Scalable Imitation Learning for Lifelong Multi-Agent Path Finding.,https://doi.org/10.1109/ICRA55743.2025.11127445
Computationally and Sample Efficient Safe Reinforcement Learning Using Adaptive Conformal Prediction.,https://doi.org/10.1109/ICRA55743.2025.11127570
A Magnetic-Actuated Vision-Based Whisker Array for Contact Perception and Grasping.,https://doi.org/10.1109/ICRA55743.2025.11128051
SIGMA: Sheaf-Informed Geometric Multi-Agent Pathfinding.,https://doi.org/10.1109/ICRA55743.2025.11127434
Open-RGBT: Open-Vocabulary RGB-T Zero-Shot Semantic Segmentation in Open-World Environments.,https://doi.org/10.1109/ICRA55743.2025.11127432
TDFANet: Encoding Sequential 4D Radar Point Clouds Using Trajectory-Guided Deformable Feature Aggregation for Place Recognition.,https://doi.org/10.1109/ICRA55743.2025.11127648
Learning-Based Adaptive Navigation for Scalar Field Mapping and Feature Tracking.,https://doi.org/10.1109/ICRA55743.2025.11127650
DeepVL: Dynamics and Inertial Measurements-based Deep Velocity Learning for Underwater Odometry.,https://doi.org/10.1109/ICRA55743.2025.11128041
Detecting Perception-Based Attacks using Visual Odometry: Inconsistency Modeling and Checking on Robotic States.,https://doi.org/10.1109/ICRA55743.2025.11127598
KARMA: Augmenting Embodied AI Agents with Long-and-Short Term Memory Systems.,https://doi.org/10.1109/ICRA55743.2025.11128047
MJPR: Multi-Modal Joint Predictive Representation in Deep Reinforcement Learning.,https://doi.org/10.1109/ICRA55743.2025.11128137
Real-World Automated Vehicle Longitudinal Stability Analysis: Controller Design and Field Test.,https://doi.org/10.1109/ICRA55743.2025.11127447
MFSeg: Efficient Multi-Frame 3D Semantic Segmentation.,https://doi.org/10.1109/ICRA55743.2025.11127629
Verifiably Following Complex Robot Instructions with Foundation Models.,https://doi.org/10.1109/ICRA55743.2025.11127418
Tracking Everything in Robotic-Assisted Surgery.,https://doi.org/10.1109/ICRA55743.2025.11128141
A Neural Network-Based Framework for Fast and Smooth Posture Reconstruction of a Soft Continuum Arm.,https://doi.org/10.1109/ICRA55743.2025.11128142
Optimize and Coordinate Multiple DMPs Under Constraints to Achieve a Collaborative Manipulation Task.,https://doi.org/10.1109/ICRA55743.2025.11127511
Air-FAR: Fast and Adaptable Routing for Aerial Navigation in Large-Scale Complex Unknown Environments.,https://doi.org/10.1109/ICRA55743.2025.11127430
A Quantum Annealing Approach to Target Tracking.,https://doi.org/10.1109/ICRA55743.2025.11128357
Kineto-Dynamical Planning and Accurate Execution of Minimum-Time Maneuvers on Three-Dimensional Circuits.,https://doi.org/10.1109/ICRA55743.2025.11127446
TS-DETR: Traffic Sign Detection Based on Positive and Negative Sample Augmentation.,https://doi.org/10.1109/ICRA55743.2025.11127628
Towards Transparent Multi-Agent Autonomous Systems Through Principled Multi-Source Knowledge Distillation.,https://doi.org/10.1109/ICRA55743.2025.11127443
ZeroCAP: Zero-Shot Multi-Robot Context Aware Pattern Formation via Large Language Models.,https://doi.org/10.1109/ICRA55743.2025.11127452
DVM-SLAM: Decentralized Visual Monocular Simultaneous Localization and Mapping for Multi-Agent Systems.,https://doi.org/10.1109/ICRA55743.2025.11127510
Qdgset: a Large Scale Grasping Dataset Generated With Quality-Diversity.,https://doi.org/10.1109/ICRA55743.2025.11127427
QuickGrasp: Lightweight Antipodal Grasp Planning with Point Clouds.,https://doi.org/10.1109/ICRA55743.2025.11128143
Stonefish: Supporting Machine Learning Research in Marine Robotics.,https://doi.org/10.1109/ICRA55743.2025.11127421
BODex: Scalable and Efficient Robotic Dexterous Grasp Synthesis Using Bilevel Optimization.,https://doi.org/10.1109/ICRA55743.2025.11127930
Dark-DENet: A Lightweight Enhancement Network for Low-Light Object Detection.,https://doi.org/10.1109/ICRA55743.2025.11127459
HGSLoc: 3DGS-Based Heuristic Camera Pose Refinement.,https://doi.org/10.1109/ICRA55743.2025.11127431
Ergodic Trajectory Optimization on Generalized Domains Using Maximum Mean Discrepancy.,https://doi.org/10.1109/ICRA55743.2025.11127573
OCCUQ: Exploring Efficient Uncertainty Quantification for 3D Occupancy Prediction.,https://doi.org/10.1109/ICRA55743.2025.11128049
UAV-Assisted Self-Supervised Terrain Awareness for Off-Road Navigation.,https://doi.org/10.1109/ICRA55743.2025.11128050
Vision Transformers for End-to-End Vision-Based Quadrotor Obstacle Avoidance.,https://doi.org/10.1109/ICRA55743.2025.11128042
Interactive OT Gym: A Reinforcement Learning-Based Interactive Optical Tweezer (OT)-Driven Microrobotics Simulation Platform.,https://doi.org/10.1109/ICRA55743.2025.11127419
Simplifying Reward Design in Complex Robotics: Average-Reward Maximum Entropy Reinforcement Learning.,https://doi.org/10.1109/ICRA55743.2025.11128043
Narrow Passage Path Planning Using Collision Constraint Interpolation.,https://doi.org/10.1109/ICRA55743.2025.11127444
AF-RLIO: Adaptive Fusion of Radar-LiDAR-Inertial Information for Robust Odometry in Challenging Environments.,https://doi.org/10.1109/ICRA55743.2025.11128046
A Modified Resistance Model for Magnetic Honeycomb Robots to Navigate in Low Reynolds Number Fluids.,https://doi.org/10.1109/ICRA55743.2025.11127438
Bayesian Optimal Experimental Design for Robot Kinematic Calibration.,https://doi.org/10.1109/ICRA55743.2025.11127428
Universal Online Temporal Calibration for Optimization-Based Visual-Inertial Navigation Systems.,https://doi.org/10.1109/ICRA55743.2025.11127433
Modeling Trust Dynamics in Robot-Assisted Delivery: Impact of Trust Repair Strategies.,https://doi.org/10.1109/ICRA55743.2025.11127509
"RTAGrasp: Learning Task-Oriented Grasping from Human Videos via Retrieval, Transfer, and Alignment.",https://doi.org/10.1109/ICRA55743.2025.11128140
CLIMB: Language-Guided Continual Learning for Task Planning with Iterative Model Building.,https://doi.org/10.1109/ICRA55743.2025.11127439
AI-Enhanced Automatic Design of Efficient Underwater Gliders.,https://doi.org/10.1109/ICRA55743.2025.11127645
A Visual Servo System for Robotic on-Orbit Servicing Based on 3D Perception of Non-Cooperative Satellite.,https://doi.org/10.1109/ICRA55743.2025.11127498
Cocube: a Tabletop Modular Multi-Robot Platform for Education and Research.,https://doi.org/10.1109/ICRA55743.2025.11127500
Soft Robotic Dynamic in-Hand Pen Spinning.,https://doi.org/10.1109/ICRA55743.2025.11127449
Inference Based Multi-Object Reactive Search in a Partially Known Environment With Temporal Logic Specifications.,https://doi.org/10.1109/ICRA55743.2025.11127453
Residual Policy Learning for Perceptive Quadruped Control Using Differentiable Simulation.,https://doi.org/10.1109/ICRA55743.2025.11127448
FedEFM: Federated Endovascular Foundation Model with Unseen Data.,https://doi.org/10.1109/ICRA55743.2025.11127787
Depth Estimation Based on 3D Gaussian Splatting Siamese Defocus.,https://doi.org/10.1109/ICRA55743.2025.11127429
Robust Robotic Breast Ultrasound Scanning and Real-Time Lesion Localization.,https://doi.org/10.1109/ICRA55743.2025.11127435
Teleoperating a 6 DoF Robotic Manipulator from Head Movements.,https://doi.org/10.1109/ICRA55743.2025.11127494
Panoptic-Depth Forecasting.,https://doi.org/10.1109/ICRA55743.2025.11127571
Routing Manipulation of Deformable Linear Object Using Reinforcement Learning and Diffusion Policy.,https://doi.org/10.1109/ICRA55743.2025.11127451
Cycloidal Quasi-Direct Drive Actuator Designs with Learning-Based Torque Estimation for Legged Robotics.,https://doi.org/10.1109/ICRA55743.2025.11127436
Generalizable Imitation Learning Through Pre-Trained Representations.,https://doi.org/10.1109/ICRA55743.2025.11127800
Robot Planning Under Uncertainty for Object Assembly and Troubleshooting Using Human Causal Models.,https://doi.org/10.1109/ICRA55743.2025.11128040
Point and Go: Intuitive Reference Frame Reallocation in Mode Switching for Assistive Robotics.,https://doi.org/10.1109/ICRA55743.2025.11127426
Motion-Guided Dual-Camera Tracker for Endoscope Tracking and Motion Analysis in a Mechanical Gastric Simulator.,https://doi.org/10.1109/ICRA55743.2025.11127574
Shape-Space Deformer: Unified Visuo-Tactile Representations for Robotic Manipulation of Deformable Objects.,https://doi.org/10.1109/ICRA55743.2025.11127499
Robust Optical Transceiver Manipulation in Cluttered Cable Environments Using 3D Scene Understanding and Planning.,https://doi.org/10.1109/ICRA55743.2025.11127450
Patch Tree: Exploiting the Gauss Map and Principal Component Analysis for Robotic Grasping.,https://doi.org/10.1109/ICRA55743.2025.11127440
"Strain-Coordinated Formation, Migration, and Encapsulation Behaviors in a Tethered Robot Collective.",https://doi.org/10.1109/ICRA55743.2025.11127437
Adaptive Task Allocation in Multi-Human Multi-Robot Teams Under Team Heterogeneity and Dynamic Information Uncertainty.,https://doi.org/10.1109/ICRA55743.2025.11127646
Deliberative Control-Aware Motion Planning for Kinematic-Constrained UAVs in a Dynamic Environment.,https://doi.org/10.1109/ICRA55743.2025.11127441
An Iterative Approach for Heterogeneous Multi-Agent Route Planning with Resource Transportation Uncertainty and Temporal Logic Goals.,https://doi.org/10.1109/ICRA55743.2025.11128052
New Graph Distance Measures and Matching of Topological Maps for Robotic Exploration.,https://doi.org/10.1109/ICRA55743.2025.11127512
MDC-Seg: Multi-Directional Convolution-Based Semantic Segmentation for LiDAR Point Clouds.,https://doi.org/10.1109/ICRA55743.2025.11127422
Human-Robot Collaboration for the Remote Control of Mobile Humanoid Robots With Torso-Arm Coordination.,https://doi.org/10.1109/ICRA55743.2025.11128048
Maintaining Strong $r$-Robustness in Reconfigurable Multi-Robot Networks Using Control Barrier Functions.,https://doi.org/10.1109/ICRA55743.2025.11127420
From Imitation to Refinement - Residual Rl for Precise Assembly.,https://doi.org/10.1109/ICRA55743.2025.11127442
Learning Adversarial Policies for Swarm Leader Identification Using a Probing Agent.,https://doi.org/10.1109/ICRA55743.2025.11128045
Loopy Movements: Emergence of Rotation in a Multicellular Robot.,https://doi.org/10.1109/ICRA55743.2025.11128053
Assembly Order Planning for Modular Structures by Autonomous Multi-Robot Systems.,https://doi.org/10.1109/ICRA55743.2025.11127644
Achieving Human Level Competitive Robot Table Tennis.,https://doi.org/10.1109/ICRA55743.2025.11127501
Robo-DM: Data Management for Large Robot Datasets.,https://doi.org/10.1109/ICRA55743.2025.11128693
No Plan but Everything Under Control: Robustly Solving Sequential Tasks with Dynamically Composed Gradient Descent.,https://doi.org/10.1109/ICRA55743.2025.11127552
MiniVLN: Efficient Vision-and-Language Navigation by Progressive Knowledge Distillation.,https://doi.org/10.1109/ICRA55743.2025.11127306
PolyTouch: A Robust Multi-Modal Tactile Sensor for Contact-Rich Manipulation Using Tactile-Diffusion Policies.,https://doi.org/10.1109/ICRA55743.2025.11128816
A New Stereo Fisheye Event Camera for Fast Drone Detection and Tracking.,https://doi.org/10.1109/ICRA55743.2025.11128164
VSS-SLAM: Voxelized Surfel Splatting for Geometally Accurate SLAM.,https://doi.org/10.1109/ICRA55743.2025.11128492
EnvoDat: A Large-Scale Multisensory Dataset for Robotic Spatial Awareness and Semantic Reasoning in Heterogeneous Environments.,https://doi.org/10.1109/ICRA55743.2025.11127594
Weathergs: 3D Scene Reconstruction in Adverse Weather Conditions Via Gaussian Splatting.,https://doi.org/10.1109/ICRA55743.2025.11128699
RL-GSBridge: 3D Gaussian Splatting Based Real2Sim2Real Method for Robotic Manipulation Learning.,https://doi.org/10.1109/ICRA55743.2025.11128103
High-Quality 3D Creation From a Single Image Using Subject-Specific Knowledge Prior.,https://doi.org/10.1109/ICRA55743.2025.11127728
DGTR: Distributed Gaussian Turbo-Reconstruction for Sparse-View Vast Scenes.,https://doi.org/10.1109/ICRA55743.2025.11127313
LiDAR-EDIT: LiDAR Data Generation by Editing the Object Layouts in Real-World Scenes.,https://doi.org/10.1109/ICRA55743.2025.11127587
TransForce: Transferable Force Prediction for Vision-Based Tactile Sensors with Sequential Image Translation.,https://doi.org/10.1109/ICRA55743.2025.11127381
HumanFT: A Human-Like Fingertip Multimodal Visuo-Tactile Sensor.,https://doi.org/10.1109/ICRA55743.2025.11128300
FeelAnyForce: Estimating Contact Force Feedback from Tactile Sensation for Vision-Based Tactile Sensors.,https://doi.org/10.1109/ICRA55743.2025.11127723
VITaL Pretraining: Visuo-Tactile Pretraining for Tactile and Non-Tactile Manipulation Policies.,https://doi.org/10.1109/ICRA55743.2025.11128336
Nezha-Mb: Design and Implementation of a Morphing Hybrid Aerial-Underwater Vehicle.,https://doi.org/10.1109/ICRA55743.2025.11127620
From Ceilings to Walls: Universal Dynamic Perching of Quadrotors on Surfaces with Variable Orientations.,https://doi.org/10.1109/ICRA55743.2025.11128577
