Title,DOI
Deep Geometric Potential Functions for Tracking on Manifolds.,https://doi.org/10.1109/IROS58592.2024.10801512
FruitNeRF: A Unified Neural Radiance Field based Fruit Counting Framework.,https://doi.org/10.1109/IROS58592.2024.10802065
SPVSoAP3D: A Second-order Average Pooling Approach to enhance 3D Place Recognition in Horticultural Environments.,https://doi.org/10.1109/IROS58592.2024.10802603
TriLoc-NetVLAD: Enhancing Long-term Place Recognition in Orchards with a Novel LiDAR-Based Approach.,https://doi.org/10.1109/IROS58592.2024.10802261
(Real2Sim)-1: 3D Branch Point Cloud Completion for Robotic Pruning in Apple Orchards.,https://doi.org/10.1109/IROS58592.2024.10803058
HortiBot: An Adaptive Multi-Arm System for Robotic Horticulture of Sweet Peppers.,https://doi.org/10.1109/IROS58592.2024.10802082
Markerless Aerial-Terrestrial Co-Registration of Forest Point Clouds using a Deformable Pose Graph.,https://doi.org/10.1109/IROS58592.2024.10802448
Optimal view point and kinematic control for grape stem detection and cutting with an in-hand camera robot.,https://doi.org/10.1109/IROS58592.2024.10802572
Real-Time Semantic Segmentation in Natural Environments with SAM-assisted Sim-to-Real Domain Transfer.,https://doi.org/10.1109/IROS58592.2024.10801798
Temporal- and Viewpoint-Invariant Registration for Under-Canopy Footage using Deep-Learning-based Bird's-Eye View Prediction.,https://doi.org/10.1109/IROS58592.2024.10802707
Design of Stickbug: a Six-Armed Precision Pollination Robot.,https://doi.org/10.1109/IROS58592.2024.10801406
Occlusion Handling by Pushing for Enhanced Fruit Detection.,https://doi.org/10.1109/IROS58592.2024.10802174
Toward Precise Robotic Weed Flaming Using a Mobile Manipulator with a Blowtorch.,https://doi.org/10.1109/IROS58592.2024.10802119
Towards Human-Centered Construction Robotics: A Reinforcement Learning-Driven Companion Robot for Contextually Assisting Carpentry Workers.,https://doi.org/10.1109/IROS58592.2024.10802698
Dynamic Throwing with Robotic Material Handling Machines.,https://doi.org/10.1109/IROS58592.2024.10802743
"Extensive, Long-term Task and Motion Planning with Signal Temporal Logic Specification for Autonomous Construction.",https://doi.org/10.1109/IROS58592.2024.10802424
BEV Image-based Lane Tracking Control System for Autonomous Lane Repainting Robot.,https://doi.org/10.1109/IROS58592.2024.10802616
Kiri-Spoon: A Soft Shape-Changing Utensil for Robot-Assisted Feeding.,https://doi.org/10.1109/IROS58592.2024.10801346
ChatMap: A Wearable Platform Based on the Multi-modal Foundation Model to Augment Spatial Cognition for People with Blindness and Low Vision.,https://doi.org/10.1109/IROS58592.2024.10801606
Force-Triggered Control Design for User Intent-Driven Assistive Upper-Limb Robots.,https://doi.org/10.1109/IROS58592.2024.10801685
Multimodal Haptic Interface for Walker-Assisted Navigation.,https://doi.org/10.1109/IROS58592.2024.10801733
Development and Functional Evaluation of The PrHand V3 Soft-Robotics Prosthetic Hand.,https://doi.org/10.1109/IROS58592.2024.10801454
Evaluating the Impact of a Semi-Autonomous Interface on Configuration Space Accessibility for Multi-DOF Upper Limb Prostheses.,https://doi.org/10.1109/IROS58592.2024.10802319
Data-Driven Predictive Control for Robust Exoskeleton Locomotion.,https://doi.org/10.1109/IROS58592.2024.10802759
An Adaptive Robotic Exoskeleton for Comprehensive Force-Controlled Hand Rehabilitation.,https://doi.org/10.1109/IROS58592.2024.10802093
A Tactile Lightweight Exoskeleton for Teleoperation: Design and Control Performance.,https://doi.org/10.1109/IROS58592.2024.10802732
Design of Upper-Limb Exoskeleton with Distal Branching Link Mechanism for Bilateral Operation of Humanoid Robots.,https://doi.org/10.1109/IROS58592.2024.10802346
Functional kinematic and kinetic requirements of the upper limb during activities of daily living: a recommendation on necessary joint capabilities for prosthetic arms.,https://doi.org/10.1109/IROS58592.2024.10802080
Optimal Integration of Hybrid FES-Exoskeleton for Precise Knee Trajectory Control.,https://doi.org/10.1109/IROS58592.2024.10801382
Enhancing Prosthetic Safety and Environmental Adaptability: A Visual-Inertial Prosthesis Motion Estimation Approach on Uneven Terrains.,https://doi.org/10.1109/IROS58592.2024.10801585
Using Hip Assisted Running Exoskeleton with Impact Isolation Mechanism to Improve Energy Efficiency.,https://doi.org/10.1109/IROS58592.2024.10802632
A Large Vision-Language Model based Environment Perception System for Visually Impaired People.,https://doi.org/10.1109/IROS58592.2024.10801813
Modeling of Hydraulic Soft Hand with Rubber Sheet Reservoir and Evaluation of its Grasping Flexibility and Control.,https://doi.org/10.1109/IROS58592.2024.10802355
Manta Ray-Inspired Soft Robotic Swimmer for High-speed and Multi-modal Swimming.,https://doi.org/10.1109/IROS58592.2024.10802678
Harnessing Symmetry Breaking in Soft Robotics: A Novel Approach for Underactuated Fingers.,https://doi.org/10.1109/IROS58592.2024.10802658
PINN-Ray: A Physics-Informed Neural Network to Model Soft Robotic Fin Ray Fingers.,https://doi.org/10.1109/IROS58592.2024.10802217
Single Actuator Undulation Soft-bodied Robots Using A Precompressed Variable Thickness Flexible Beam.,https://doi.org/10.1109/IROS58592.2024.10801330
CompdVision: Combining Near-Field 3D Visual and Tactile Sensing Using a Compact Compound-Eye Imaging System.,https://doi.org/10.1109/IROS58592.2024.10801461
A Perceptive Pneumatic Artificial Muscle Empowered by Double Helix Fiber Reinforcement.,https://doi.org/10.1109/IROS58592.2024.10801695
Climbing Gait for a Snake Robot by Adapting to a Flexible Net.,https://doi.org/10.1109/IROS58592.2024.10802564
A Biomimetic Robot Crawling Upstream using Adhesive Suckers Inspired by Net-winged Midge Larvae.,https://doi.org/10.1109/IROS58592.2024.10802850
Tension Feedback Control for Musculoskeletal Quadrupedal Locomotion over Uneven Terrain.,https://doi.org/10.1109/IROS58592.2024.10801663
An Active and Dexterous Bionic Torso for a Quadruped Robot*.,https://doi.org/10.1109/IROS58592.2024.10801439
An Agile Robotic Penguin Driven by Submersible Geared Servomotors: Various Maneuvers by Active Feathering of the Wings.,https://doi.org/10.1109/IROS58592.2024.10801509
Loco-Manipulation with Nonimpulsive Contact-Implicit Planning in a Slithering Robot.,https://doi.org/10.1109/IROS58592.2024.10802450
An Ejecting System for Autonomous Takeoff of Flapping-Wing Robots.,https://doi.org/10.1109/IROS58592.2024.10802796
A Robust Visual SLAM System for Small-Scale Quadruped Robots in Dynamic Environments.,https://doi.org/10.1109/IROS58592.2024.10802163
Construction of Musculoskeletal Simulation for Shoulder Complex with Ligaments and Its Validation via Model Predictive Control.,https://doi.org/10.1109/IROS58592.2024.10802465
DECADE: Towards Designing Efficient-yet-Accurate Distance Estimation Modules for Collision Avoidance in Mobile Advanced Driver Assistance Systems.,https://doi.org/10.1109/IROS58592.2024.10801667
Masked Mutual Guidance Transformer Tracking.,https://doi.org/10.1109/IROS58592.2024.10801735
BEV-ODOM: Reducing Scale Drift in Monocular Visual Odometry with BEV Representation.,https://doi.org/10.1109/IROS58592.2024.10801996
DailySTR: A Daily Human Activity Pattern Recognition Dataset for Spatio-temporal Reasoning.,https://doi.org/10.1109/IROS58592.2024.10802775
Visual Imitation Learning of Task-Oriented Object Grasping and Rearrangement.,https://doi.org/10.1109/IROS58592.2024.10801466
TD-NeRF: Novel Truncated Depth Prior for Joint Camera Pose and Neural Radiance Field Optimization.,https://doi.org/10.1109/IROS58592.2024.10802634
Learning Concept-Based Causal Transition and Symbolic Reasoning for Visual Planning.,https://doi.org/10.1109/IROS58592.2024.10802420
Sim-to-Real Domain Shift in Online Action Detection.,https://doi.org/10.1109/IROS58592.2024.10802421
STAIR: Semantic-Targeted Active Implicit Reconstruction.,https://doi.org/10.1109/IROS58592.2024.10801401
VIHE: Virtual In-Hand Eye Transformer for 3D Robotic Manipulation.,https://doi.org/10.1109/IROS58592.2024.10802366
Simultaneous Super-resolution and Depth Estimation for Satellite Images Based on Diffusion Model.,https://doi.org/10.1109/IROS58592.2024.10802345
Contrastive Mask Denoising Transformer for 3D Instance Segmentation.,https://doi.org/10.1109/IROS58592.2024.10802860
FlowTrack: Point-level Flow Network for 3D Single Object Tracking.,https://doi.org/10.1109/IROS58592.2024.10801484
Reinforcement Learning with Generalizable Gaussian Splatting.,https://doi.org/10.1109/IROS58592.2024.10801348
Gaining the Sparse Rewards by Exploring Lottery Tickets in Spiking Neural Networks.,https://doi.org/10.1109/IROS58592.2024.10802854
Uncertainty-Aware Semi-Supervised Semantic Key Point Detection via Bundle Adjustment.,https://doi.org/10.1109/IROS58592.2024.10801395
"X-neuron: Interpreting, Locating and Editing of Neurons in Reinforcement Learning Policy.",https://doi.org/10.1109/IROS58592.2024.10801727
Binary Amplitude-Only Hologram Generation for Acoustic End-Effector Design by Physics-based deep learning.,https://doi.org/10.1109/IROS58592.2024.10801787
Active propulsion noise shaping for multi-rotor aircraft localization.,https://doi.org/10.1109/IROS58592.2024.10802115
